result,firstServeIn%,aces,doubleFaults,firstServePointsWon%,secondServePointsWon%,breakPointsWon%,returnPointsWon%
0,51,2,1,55,59,11,29
0,59,13,4,80,30,31,40
0,61,12,1,71,48,50,27
0,56,9,4,65,47,25,29
0,62,6,10,65,51,33,32
0,56,18,8,84,51,20,33
0,50,4,5,72,41,50,30
0,68,6,2,58,48,27,38
0,50,8,7,71,50,56,36
0,64,6,4,71,45,17,29
0,56,2,4,53,52,20,34
0,52,3,4,59,28,0,34
0,63,5,4,54,55,0,25
0,63,5,3,62,58,27,38
0,62,7,5,63,42,50,42
0,60,1,3,64,46,43,33
0,62,7,6,60,48,50,31
0,63,7,3,71,45,67,31
0,66,8,3,65,45,33,28
0,53,2,6,68,34,44,38
0,58,10,0,67,61,57,30
0,68,2,3,52,42,43,42
0,61,11,4,67,56,60,29
0,54,8,2,66,46,20,33
0,66,10,5,65,22,31,40
0,59,8,3,63,32,0,25
0,53,5,3,69,40,67,33
0,67,17,5,74,50,17,27
