Tournament,Match,Year,firstServeIn%,aces,doubleFaults,firstServePointsWon%,secondServePointsWon%,breakPointsWon%,returnPointsWon%,Result
Wimbledon,F,2015,67,14,3,74,49,14,31,0
Wimbledon,SF,2015,51,6,6,66,55,25,30,0
Wimbledon,SF,2015,74,12,1,71,50,0,23,0
Wimbledon,QF,2015,55,8,0,76,49,0,22,0
Wimbledon,QF,2015,61,22,1,78,55,44,29,0
Wimbledon,QF,2015,59,9,3,80,47,0,26,0
Wimbledon,QF,2015,58,1,2,60,54,100,25,0
Wimbledon,F,2014,69,29,5,77,44,43,30,0
Wimbledon,SF,2014,63,15,8,82,45,27,32,0
Wimbledon,SF,2014,55,17,4,80,50,0,24,0
Wimbledon,QF,2014,56,10,6,69,41,50,31,0
Wimbledon,QF,2014,61,5,5,72,31,50,30,0
Wimbledon,QF,2014,60,9,1,77,62,25,24,0
Wimbledon,QF,2014,72,15,1,67,54,100,18,0
Wimbledon,F,2013,65,4,4,59,41,31,39,0
Wimbledon,SF,2013,60,4,4,72,55,29,31,0
Wimbledon,SF,2013,55,9,11,75,47,14,26,0
Wimbledon,QF,2013,53,6,4,63,57,100,29,0
Wimbledon,QF,2013,68,8,2,64,52,0,24,0
Wimbledon,QF,2013,57,9,3,77,47,0,27,0
Wimbledon,QF,2013,59,11,9,72,48,43,30,0
Wimbledon,F,2012,56,16,1,69,48,29,33,0
Wimbledon,SF,2012,63,9,2,71,57,33,26,0
Wimbledon,SF,2012,63,11,2,75,32,25,30,0
Wimbledon,QF,2012,57,2,1,61,45,13,30,0
Wimbledon,QF,2012,65,3,2,51,52,0,26,0
Wimbledon,QF,2012,68,6,0,71,53,17,28,0
Wimbledon,QF,2012,63,10,4,71,57,40,28,0
US Open,F,2014,51,2,1,55,59,11,29,0
US Open,SF,2014,59,13,4,80,30,31,40,0
US Open,SF,2014,61,12,1,71,48,50,27,0
US Open,QF,2014,56,9,4,65,47,25,29,0
US Open,QF,2014,62,6,10,65,51,33,32,0
US Open,QF,2014,56,18,8,84,51,20,33,0
US Open,QF,2014,50,4,5,72,41,50,30,0
US Open,F,2013,68,6,2,58,48,27,38,0
US Open,SF,2013,50,8,7,71,50,56,36,0
US Open,SF,2013,64,6,4,71,45,17,29,0
US Open,QF,2013,56,2,4,53,52,20,34,0
US Open,QF,2013,52,3,4,59,28,0,34,0
US Open,QF,2013,63,5,4,54,55,0,25,0
US Open,QF,2013,63,5,3,62,58,27,38,0
US Open,F,2012,62,7,5,63,42,50,42,0
US Open,SF,2012,60,1,3,64,46,43,33,0
US Open,SF,2012,62,7,6,60,48,50,31,0
US Open,QF,2012,63,7,3,71,45,67,31,0
US Open,QF,2012,66,8,3,65,45,33,28,0
US Open,QF,2012,53,2,6,68,34,44,38,0
US Open,QF,2012,58,10,0,67,61,57,30,0
US Open,F,2011,68,2,3,52,42,43,42,0
US Open,SF,2011,61,11,4,67,56,60,29,0
US Open,SF,2011,54,8,2,66,46,20,33,0
US Open,QF,2011,66,10,5,65,22,31,40,0
US Open,QF,2011,59,8,3,63,32,0,25,0
US Open,QF,2011,53,5,3,69,40,67,33,0
US Open,QF,2011,67,17,5,74,50,17,27,0
